Interactor_A_ID,Interactor_B_ID,Interactor_A_Name,Interactor_B_Name,Interactor_A_Alias,Interactor_B_Alias,Interaction_detection_methods,First_author,Publications,Interactor_A_Taxonomy,Interactor_B_Taxonomy,Interaction_type,Source_database,Interaction_identifier,Confidence_score,EntrezA,EntrezB,HIDA,HIDB,osEntrezA,osEntrezB,Methods
P31946,P63104,1433B_HUMAN(gene name),1433Z_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0676|psi-mi:MI:0007,-,pubmed:26496610|pubmed:24255178|pubmed:20618440,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,mint,7900157,0.83924966487929,7529,7534,20724,56528,54401,22631,affinity chromatography technology | tandem affinity purification | anti tag coimmunoprecipitation
P63104,Q04917,1433Z_HUMAN(gene name),1433F_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007|psi-mi:MI:0676,-,pubmed:26496610|pubmed:17979178|pubmed:20618440,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,mint,7899812,0.830066262415236,7534,7533,56528,37767,22631,22629,affinity chromatography technology | anti tag coimmunoprecipitation | tandem affinity purification
P26640,P26641,SYVC_HUMAN(gene name),EF1G_HUMAN(gene name),-,-,psi-mi:MI:0401|psi-mi:MI:0004,-,pubmed:3169261|pubmed:26186194|pubmed:28514442,9606,9606,psi-mi:MI:0914|psi-mi:MI:0915,biogrid,926536,0.817398311718345,7407,1937,4587,20363,22321,67160,biochemical | affinity chromatography technology
P25054,P25054,APC_HUMAN(gene name),APC_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0096,-,pubmed:8389242|pubmed:12070164,9606,9606,psi-mi:MI:0915|psi-mi:MI:0407,biogrid,245260,0.812471537963023,324,324,30950,30950,11789,11789,affinity chromatography technology | pull down
P07196,P14136,NFL_HUMAN(gene name),GFAP_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0397|psi-mi:MI:1112,-,pubmed:26871637|pubmed:unassigned1304,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-19226854,0.799893742943399,4747,2670,4487,1554,18039,14580,two hybrid | two hybrid array | two hybrid prey pooling approach
P10768,P10768,ESTD_HUMAN(gene name),ESTD_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0397|psi-mi:MI:1112,-,pubmed:25416956|pubmed:unassigned1304,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-20155294,0.799893742943399,2098,2098,55623,55623,13885,13885,two hybrid | two hybrid array | two hybrid prey pooling approach
P31946,P61981,1433B_HUMAN(gene name),1433G_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0069|psi-mi:MI:0007,-,pubmed:24255178|pubmed:17085597,9606,9606,psi-mi:MI:0915|psi-mi:MI:0407|psi-mi:MI:0914,intact,EBI-8796749,0.798598772851549,7529,7532,20724,22725,54401,22628,affinity chromatography technology | mass spectrometry studies of complexes | anti tag coimmunoprecipitation
P17858,P17858,PFKAL_HUMAN(gene name),PFKAL_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0397|psi-mi:MI:0004,-,pubmed:25416956|pubmed:6444721,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-514830,0.793221280602078,5211,5211,55668,55668,18641,18641,two hybrid | two hybrid array | affinity chromatography technology
P63167,P63167,DYL1_HUMAN(gene name),DYL1_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0398,-,pubmed:16169070|pubmed:12475239,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-734356,0.791125780138658,8655,8655,133063,133063,56455,56455,two hybrid | two hybrid pooling approach
Q9NQS3,Q9NQS3,NECT3_HUMAN(gene name),NECT3_HUMAN(gene name),-,-,psi-mi:MI:0401|psi-mi:MI:0114|psi-mi:MI:0107|psi-mi:MI:0028,-,pubmed:10744716|pubmed:22902367,9606,9606,psi-mi:MI:0914|psi-mi:MI:0407,intact,EBI-16008096,0.78987973768163,25945,25945,9162,9162,58998,58998,biochemical | x-ray crystallography | surface plasmon resonance | cosedimentation in solution
P17612,P22694,KAPCA_HUMAN(gene name),KAPCB_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0676,-,pubmed:23455922|pubmed:28514442,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-6255866,0.788682445601523,5566,5567,121574,121718,18747,18749,affinity chromatography technology | tandem affinity purification
P48730,P49674,KC1D_HUMAN(gene name),KC1E_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0676,-,pubmed:28514442|pubmed:23455922,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-6256083,0.788682445601523,1453,1454,74841,121695,104318,27373,affinity chromatography technology | tandem affinity purification
P11021,Q9Y4L1,BIP_HUMAN(gene name),HYOU1_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007|psi-mi:MI:0030,-,pubmed:26496610|pubmed:30021884,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-20902960,0.788682445601523,3309,10525,3908,4658,14828,12282,affinity chromatography technology | anti tag coimmunoprecipitation | cross-linking study
P63167,Q96FJ2,DYL1_HUMAN(gene name),DYL2_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0006|psi-mi:MI:0676,-,pubmed:27173435|pubmed:17353931,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-12449804,0.788682445601523,8655,140735,133063,115597,56455,68097,affinity chromatography technology | anti bait coimmunoprecipitation | tandem affinity purification
P48729,P49674,KC1A_HUMAN(gene name),KC1E_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0676,-,pubmed:27684187|pubmed:23455922,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-6255977,0.788682445601523,1452,1454,111694,121695,93687,27373,affinity chromatography technology | tandem affinity purification
P21796,Q9Y277,VDAC1_HUMAN(gene name),VDAC3_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0030,-,pubmed:29128334|pubmed:30021884,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-20907128,0.788682445601523,7416,7419,107244,36115,22333,22335,affinity chromatography technology | cross-linking study
Q96CX2,Q96CX2,KCD12_HUMAN(gene name),KCD12_HUMAN(gene name),-,-,psi-mi:MI:0096|psi-mi:MI:0071|psi-mi:MI:0040,-,pubmed:23996491|pubmed:27152988,9606,9606,psi-mi:MI:0407,mint,2122315,0.786002544525143,115207,115207,16316,16316,239217,239217,pull down | molecular sieving | electron microscopy
P58400,Q8N2Q7,NRX1B_HUMAN(gene name),NLGN1_HUMAN(gene name),-,-,psi-mi:MI:0096,-,pubmed:14522992|pubmed:8576240,9606,9606,psi-mi:MI:0407,biogrid,286933,0.777695313088616,9378,22871,21005,56690,18189,192167,pull down
P28472,P28472,GBRB3_HUMAN(gene name),GBRB3_HUMAN(gene name),-,-,psi-mi:MI:0030|psi-mi:MI:0114,-,pubmed:16537435|pubmed:24909990,9606,9606,psi-mi:MI:0407,intact,EBI-16109368,0.777695313088616,2562,2562,633,633,14402,14402,cross-linking study | x-ray crystallography
P31946,P31946,1433B_HUMAN(gene name),1433B_HUMAN(gene name),-,-,psi-mi:MI:0069|psi-mi:MI:0114|psi-mi:MI:0096,-,pubmed:17085597|pubmed:23622247,9606,9606,psi-mi:MI:0407|psi-mi:MI:0914,intact,EBI-8758601,0.776556501485887,7529,7529,20724,20724,54401,54401,mass spectrometry studies of complexes | x-ray crystallography | pull down
P61981,Q04917,1433G_HUMAN(gene name),1433F_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007|psi-mi:MI:0676,-,pubmed:26496610|pubmed:17979178,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-1644092,0.776124989933967,7532,7533,22725,37767,22628,22629,affinity chromatography technology | anti tag coimmunoprecipitation | tandem affinity purification
Q9GZT4,Q9GZT4,SRR_HUMAN(gene name),SRR_HUMAN(gene name),-,-,psi-mi:MI:0096|psi-mi:MI:1112|psi-mi:MI:0397,-,pubmed:12021263|pubmed:unassigned1304,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-19696838,0.77576413941352,63826,63826,22775,22775,27364,27364,pull down | two hybrid prey pooling approach | two hybrid array
P27824,P27824,CALX_HUMAN(gene name),CALX_HUMAN(gene name),-,-,psi-mi:MI:1313|psi-mi:MI:0004|psi-mi:MI:1314|psi-mi:MI:0096,-,pubmed:29568061|pubmed:unassigned1655,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-16789310,0.772838922415273,821,821,1324,1324,12330,12330,proximity labelling technology | affinity chromatography technology | proximity-dependent biotin identification | pull down
O76039,O76039,CDKL5_HUMAN(gene name),CDKL5_HUMAN(gene name),-,-,psi-mi:MI:0415|psi-mi:MI:0004,-,pubmed:16935860|pubmed:23602568,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,biogrid,906703,0.767580614658812,6792,6792,55719,55719,382253,382253,enzymatic study | affinity chromatography technology
P49674,P49674,KC1E_HUMAN(gene name),KC1E_HUMAN(gene name),-,-,psi-mi:MI:0415|psi-mi:MI:0018,-,pubmed:16616143|pubmed:23555304,9606,9606,psi-mi:MI:0407,biogrid,1175128,0.767163607061753,1454,1454,121695,121695,27373,27373,enzymatic study | two hybrid
O75382,O75382,TRIM3_HUMAN(gene name),TRIM3_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:1112|psi-mi:MI:0397,-,pubmed:11331580|pubmed:unassigned1304,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-19626427,0.767020208338737,10612,10612,21290,21290,55992,55992,two hybrid | two hybrid prey pooling approach | two hybrid array
P26641,P26641,EF1G_HUMAN(gene name),EF1G_HUMAN(gene name),-,-,psi-mi:MI:0401|psi-mi:MI:0018,-,pubmed:10094407|pubmed:15383276,9606,9606,psi-mi:MI:0914|psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-474347,0.766896342408803,1937,1937,20363,20363,67160,67160,biochemical | two hybrid
P06753,P06753,TPM3_HUMAN(gene name),TPM3_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0004,-,pubmed:25416956|pubmed:7568216,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,biogrid,297136,0.756908184656501,7170,7170,81889,81889,59069,59069,two hybrid | affinity chromatography technology
O14640,Q92997,DVL1_HUMAN(gene name),DVL3_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0004|psi-mi:MI:0096|psi-mi:MI:0007,-,pubmed:10330181,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-8786179,0.756485293974708,1855,1857,20926,20928,13542,13544,two hybrid | affinity chromatography technology | pull down | anti tag coimmunoprecipitation
P35232,Q99623,PHB_HUMAN(gene name),PHB2_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0030,-,pubmed:17932104|pubmed:30021884,9606,9606,psi-mi:MI:0915,intact,EBI-20900567,0.754327515075514,5245,11331,1980,5263,18673,12034,affinity chromatography technology | cross-linking study
O14495,O14495,PLPP3_HUMAN(gene name),PLPP3_HUMAN(gene name),-,-,psi-mi:MI:0004,-,pubmed:14725715|pubmed:18215144,9606,9606,psi-mi:MI:0915,biogrid,1528230,0.754327515075514,8613,8613,15410,15410,67916,67916,affinity chromatography technology
P63244,P63244,RACK1_HUMAN(gene name),RACK1_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007,-,pubmed:17965024|pubmed:24947010,9606,9606,psi-mi:MI:0915,intact,EBI-9685865,0.754327515075514,10399,10399,4446,4446,14694,14694,affinity chromatography technology | anti tag coimmunoprecipitation
P43146,Q9C026,DCC_HUMAN(gene name),TRIM9_HUMAN(gene name),-,-,psi-mi:MI:0004,-,pubmed:28701345|pubmed:29911180,9606,9606,psi-mi:MI:0915,biogrid,2529216,0.754327515075514,1630,114088,21081,9045,13176,94090,affinity chromatography technology
P20336,Q9H082,RAB3A_HUMAN(gene name),RB33B_HUMAN(gene name),-,-,psi-mi:MI:0004,-,pubmed:26186194|pubmed:28514442,9606,9606,psi-mi:MI:0915,biogrid,2242569,0.754327515075514,5864,83452,20629,9642,19339,19338,affinity chromatography technology
P04899,P08754,GNAI2_HUMAN(gene name),GNAI3_HUMAN(gene name),-,-,psi-mi:MI:0004,-,pubmed:26186194|pubmed:28514442,9606,9606,psi-mi:MI:0915,biogrid,2229874,0.754327515075514,2771,2773,55539,55975,14678,14679,affinity chromatography technology
O95140,O95140,MFN2_HUMAN(gene name),MFN2_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007,-,pubmed:23727017|pubmed:19052620,9606,9606,psi-mi:MI:0915,intact,EBI-15744575,0.754327515075514,9927,9927,8915,8915,170731,170731,affinity chromatography technology | anti tag coimmunoprecipitation
Q7L576,Q92558,CYFP1_HUMAN(gene name),WASF1_HUMAN(gene name),-,-,psi-mi:MI:0096|psi-mi:MI:0006,-,pubmed:19363480|pubmed:21946561,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,mint,8307391,0.754327515075514,23191,8936,22628,2920,20430,83767,pull down | anti bait coimmunoprecipitation
Q13616,Q16531,CUL1_HUMAN(gene name),DDB1_HUMAN(gene name),-,-,psi-mi:MI:0004,-,pubmed:21145461|pubmed:22474075,9606,9606,psi-mi:MI:0915,biogrid,691257,0.754327515075514,8454,1642,2663,1448,26965,13194,affinity chromatography technology
Q8WXI2,Q96NW7,CNKR2_HUMAN(gene name),LRRC7_HUMAN(gene name),-,-,psi-mi:MI:0096|psi-mi:MI:0004|psi-mi:MI:0018,-,pubmed:12390249,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,mint,1784595,0.740310745565671,22866,57554,8956,10817,245684,242274,pull down | affinity chromatography technology | two hybrid
P48730,Q9C026,KC1D_HUMAN(gene name),TRIM9_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:1112|psi-mi:MI:0397|psi-mi:MI:1356,-,pubmed:25416956,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-10616250,0.739898641707092,1453,114088,74841,9045,104318,94090,two hybrid | two hybrid prey pooling approach | two hybrid array | validated two hybrid
P31946,Q9Y2J2,1433B_HUMAN(gene name),E41L3_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0004|psi-mi:MI:0096|psi-mi:MI:0007|psi-mi:MI:0006|psi-mi:MI:0019,-,pubmed:16368544|pubmed:24366813|pubmed:11996670|pubmed:17353931|pubmed:15324660|pubmed:24255178,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915|psi-mi:MI:0914,mint,50963,0.739871610483873,7529,23136,20724,49308,54401,13823,two hybrid | affinity chromatography technology | pull down | anti tag coimmunoprecipitation | anti bait coimmunoprecipitation | coimmunoprecipitation
Q96CW1,Q96CW1,AP2M1_HUMAN(gene name),AP2M1_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0676,-,pubmed:24189400|pubmed:19380743,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-2615157,0.736926047850122,1173,1173,3000,3000,11773,11773,affinity chromatography technology | tandem affinity purification
P21796,P21796,VDAC1_HUMAN(gene name),VDAC1_HUMAN(gene name),-,-,psi-mi:MI:0077|psi-mi:MI:0114|psi-mi:MI:0030|psi-mi:MI:0071,-,pubmed:18832158,9606,9606,psi-mi:MI:0407,intact,EBI-15731441,0.730198603121096,7416,7416,107244,107244,22333,22333,nuclear magnetic resonance | x-ray crystallography | cross-linking study | molecular sieving
P52565,P52565,GDIR1_HUMAN(gene name),GDIR1_HUMAN(gene name),-,-,psi-mi:MI:0096|psi-mi:MI:0006,-,pubmed:11513578|pubmed:17353931,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-1085674,0.728190909034163,396,396,908,908,192662,192662,pull down | anti bait coimmunoprecipitation
P61981,Q9Y2J2,1433G_HUMAN(gene name),E41L3_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0018|psi-mi:MI:0096|psi-mi:MI:0007|psi-mi:MI:0006|psi-mi:MI:0398|psi-mi:MI:0019,-,pubmed:24366813|pubmed:11996670|pubmed:17353931|pubmed:20936779|pubmed:15324660,9606,9606,psi-mi:MI:0915|psi-mi:MI:0407|psi-mi:MI:0914,mint,50838,0.727131349894914,7532,23136,22725,49308,22628,13823,affinity chromatography technology | two hybrid | pull down | anti tag coimmunoprecipitation | anti bait coimmunoprecipitation | two hybrid pooling approach | coimmunoprecipitation
P17612,P49840,KAPCA_HUMAN(gene name),GSK3A_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0415,-,pubmed:11035810,9606,9606,psi-mi:MI:0915|psi-mi:MI:0407,biogrid,736324,0.72400966844373,5566,2931,121574,88581,18747,606496,affinity chromatography technology | enzymatic study
Q13449,Q9P121,LSAMP_HUMAN(gene name),NTRI_HUMAN(gene name),-,-,psi-mi:MI:0096|psi-mi:MI:0089,-,pubmed:21982860,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-4315125,0.72400966844373,4045,50863,20533,41139,268890,235106,pull down | protein array
Q13449,Q13449,LSAMP_HUMAN(gene name),LSAMP_HUMAN(gene name),-,-,psi-mi:MI:0096|psi-mi:MI:0089,-,pubmed:21982860,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-4314826,0.72400966844373,4045,4045,20533,20533,268890,268890,pull down | protein array
Q9P121,Q9P121,NTRI_HUMAN(gene name),NTRI_HUMAN(gene name),-,-,psi-mi:MI:0096|psi-mi:MI:0089,-,pubmed:21982860,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-4315116,0.72400966844373,50863,50863,41139,41139,235106,235106,pull down | protein array
Q9UQ16,Q9UQ16,DYN3_HUMAN(gene name),DYN3_HUMAN(gene name),-,-,psi-mi:MI:0114|psi-mi:MI:0020|psi-mi:MI:0028|psi-mi:MI:0071,-,pubmed:26302298,9606,9606,psi-mi:MI:0407,intact,EBI-16172584,0.721255849196386,26052,26052,22906,22906,103967,103967,x-ray crystallography | transmission electron microscopy | cosedimentation in solution | molecular sieving
Q13740,Q13740,CD166_HUMAN(gene name),CD166_HUMAN(gene name),-,-,psi-mi:MI:0069|psi-mi:MI:0071|psi-mi:MI:0067,-,pubmed:26146185,9606,9606,psi-mi:MI:0407,intact,EBI-16163497,0.715765324670035,214,214,1229,1229,11658,11658,mass spectrometry studies of complexes | molecular sieving | light scattering
Q6AWC2,Q8IX03,WWC2_HUMAN(gene name),KIBRA_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0004,-,pubmed:24682284,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,biogrid,1255042,0.712678047929077,80014,23286,32618,69180,52357,211652,two hybrid | affinity chromatography technology
P49407,P49407,ARRB1_HUMAN(gene name),ARRB1_HUMAN(gene name),-,-,psi-mi:MI:0007|psi-mi:MI:0030,-,pubmed:17620599|pubmed:24069330,9606,9606,psi-mi:MI:0914,intact,EBI-8838277,0.712376305052323,408,408,2981,2981,109689,109689,anti tag coimmunoprecipitation | cross-linking study
P11532,Q13424,DMD_HUMAN(gene name),SNTA1_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0096|psi-mi:MI:0686|psi-mi:MI:0676,-,pubmed:28514442|pubmed:7890602|pubmed:8576247|pubmed:9412493|pubmed:18468998,9606,9606,psi-mi:MI:0915|psi-mi:MI:0407|psi-mi:MI:0914,intact,EBI-21277454,0.708423602091291,1756,6640,20856,2331,13405,20648,affinity chromatography technology | pull down | unspecified method | tandem affinity purification
P62820,Q9HA65,RAB1A_HUMAN(gene name),TBC17_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0398,-,pubmed:16169070,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-735551,0.698340890969446,5861,79735,36154,11656,19324,233204,two hybrid | two hybrid pooling approach
P19086,P19086,GNAZ_HUMAN(gene name),GNAZ_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0397,-,pubmed:25416956,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-10484310,0.698340890969446,2781,2781,22574,22574,14687,14687,two hybrid | two hybrid array
Q15437,Q15437,SC23B_HUMAN(gene name),SC23B_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0397,-,pubmed:25416956,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-10485526,0.698340890969446,10483,10483,74571,74571,27054,27054,two hybrid | two hybrid array
Q14240,Q14240,IF4A2_HUMAN(gene name),IF4A2_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0397,-,pubmed:25416956,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-10485388,0.698340890969446,1974,1974,1487,1487,13682,13682,two hybrid | two hybrid array
Q86YR5,Q86YR5,GPSM1_HUMAN(gene name),GPSM1_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0397,-,pubmed:25416956,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-10486254,0.698340890969446,26086,26086,16987,16987,67839,67839,two hybrid | two hybrid array
Q9UI08,Q9UI08,EVL_HUMAN(gene name),EVL_HUMAN(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0397,-,pubmed:25416956,9606,9606,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-10488025,0.698340890969446,51466,51466,56752,56752,14026,14026,two hybrid | two hybrid array
P61981,Q96TC7,1433G_HUMAN(gene name),RMD3_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0018|psi-mi:MI:0006|psi-mi:MI:0398|psi-mi:MI:0019|psi-mi:MI:0096,-,pubmed:17353931|pubmed:20936779|pubmed:15324660|pubmed:18771726,9606,9606,psi-mi:MI:0915|psi-mi:MI:0407|psi-mi:MI:0914,mint,8008619,0.694830914683565,7532,55177,22725,34926,22628,67809,affinity chromatography technology | two hybrid | anti bait coimmunoprecipitation | two hybrid pooling approach | coimmunoprecipitation | pull down
P61160,Q92747,ARP2_HUMAN(gene name),ARC1A_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0096|psi-mi:MI:0007,-,pubmed:26496610|pubmed:26186194|pubmed:28514442|pubmed:26655834,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-16187658,0.693599307958132,10097,10552,4181,4675,66713,56443,affinity chromatography technology | pull down | anti tag coimmunoprecipitation
P25054,P49674,APC_HUMAN(gene name),KC1E_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0424|psi-mi:MI:0813|psi-mi:MI:0007,-,pubmed:29045831|pubmed:17218255|pubmed:25241761|pubmed:11425858,9606,9606,psi-mi:MI:0915|psi-mi:MI:0217|psi-mi:MI:0914,intact,EBI-6878313,0.691893055319968,324,1454,30950,121695,11789,27373,affinity chromatography technology | protein kinase assay | proximity ligation assay | anti tag coimmunoprecipitation
P61160,P62140,ARP2_HUMAN(gene name),PP1B_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007,-,pubmed:26496610,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-11142496,0.691418831100224,10097,5500,4181,37659,66713,19046,affinity chromatography technology | anti tag coimmunoprecipitation
P61160,Q9UM54,ARP2_HUMAN(gene name),MYO6_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007,-,pubmed:26496610,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-11156891,0.691418831100224,10097,4646,4181,56417,66713,17920,affinity chromatography technology | anti tag coimmunoprecipitation
P48729,P48730,KC1A_HUMAN(gene name),KC1D_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0676,-,pubmed:23455922,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-6255977,0.691418831100224,1452,1453,111694,74841,93687,104318,affinity chromatography technology | tandem affinity purification
P11021,Q92598,BIP_HUMAN(gene name),HS105_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007,-,pubmed:26496610,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-11151540,0.691418831100224,3309,10808,3908,21322,14828,15505,affinity chromatography technology | anti tag coimmunoprecipitation
P47755,P63261,CAZA2_HUMAN(gene name),ACTG_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007,-,pubmed:26496610,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-11117728,0.691418831100224,830,71,55956,74402,12343,11465,affinity chromatography technology | anti tag coimmunoprecipitation
P47755,P61160,CAZA2_HUMAN(gene name),ARP2_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007,-,pubmed:26496610,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-11117728,0.691418831100224,830,10097,55956,4181,12343,66713,affinity chromatography technology | anti tag coimmunoprecipitation
O95757,P11021,HS74L_HUMAN(gene name),BIP_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007,-,pubmed:26496610,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-11151540,0.691418831100224,22824,3309,22610,3908,18415,14828,affinity chromatography technology | anti tag coimmunoprecipitation
O60488,O95573,ACSL4_HUMAN(gene name),ACSL3_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007,-,pubmed:26496610,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-11035250,0.691418831100224,2182,2181,56282,3278,50790,74205,affinity chromatography technology | anti tag coimmunoprecipitation
P61018,P61106,RAB4B_HUMAN(gene name),RAB14_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007,-,pubmed:26496610,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-11116254,0.691418831100224,53916,51552,100632,48679,19342,68365,affinity chromatography technology | anti tag coimmunoprecipitation
P62140,P63261,PP1B_HUMAN(gene name),ACTG_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007,-,pubmed:26496610,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,intact,EBI-11142496,0.691418831100224,5500,71,37659,74402,19046,11465,affinity chromatography technology | anti tag coimmunoprecipitation
O14640,O14640,DVL1_HUMAN(gene name),DVL1_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007|psi-mi:MI:0096,-,pubmed:10330181,9606,9606,psi-mi:MI:0915,intact,EBI-8761301,0.689811568473594,1855,1855,20926,20926,13542,13542,affinity chromatography technology | anti tag coimmunoprecipitation | pull down
O75489,P28331,NDUS3_HUMAN(gene name),NDUS1_HUMAN(gene name),-,-,psi-mi:MI:0004|psi-mi:MI:0007,-,pubmed:26186194|pubmed:24344204|pubmed:27499296|pubmed:28514442,9606,9606,psi-mi:MI:0915|psi-mi:MI:0914,mint,1773062,0.686171990101607,4722,4719,3346,3670,68349,227197,affinity chromatography technology | anti tag coimmunoprecipitation
