Gene A Standard Name,Gene B Standard Name,Experiment,Interaction Type,Annotation Type,Gene A Interaction Role,Interaction Method,PubMed ID,Reference,Human Homolog A,Human Homolog B
HHF2,ASF1,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8365,25842
NAP1,SIZ1,"Srikumar T, et al. (2013)-23712011-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,23712011,"Srikumar T, et al. (2013) A global S. cerevisiae small ubiquitin-related modifier (SUMO) system interactome. Mol Syst Biol 9:668",4676,9063
GLC7,GIP3,"Breitkreutz A, et al. (2010)-20489023-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,20489023,"Breitkreutz A, et al. (2010) A global protein kinase and phosphatase interaction network in yeast. Science 328(5981):1043-6",5501,10392
CDC24,STE4,Nern A and Arkowitz RA (1998)-9428768-Reconstituted Complex,physical,manually curated,Bait,Reconstituted Complex,9428768,Nern A and Arkowitz RA (1998) A GTP-exchange factor required for cell orientation. Nature 391(6663):195-8,8997,59345
STE20,CDC42,"Takaku T, et al. (2010)-20410294-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,20410294,"Takaku T, et al. (2010) Solution structure of a novel Cdc42 binding module of Bem1 and its interaction with Ste20 and Cdc42. J Biol Chem 285(25):19346-53",56924,5879
ANT1,SSB2,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Hit,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",10165,3304
TPK1,OSH3,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",6196,114880
GTS1,SSA1,"Truman AW, et al. (2015)-25452130-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,25452130,"Truman AW, et al. (2015) Quantitative proteomics of the yeast Hsp70/Hsp90 interactomes during DNA damage reveal chaperone-dependent regulation of ribonucleotide reductase. J Proteomics 112:285-300",60682,3310
HSL1,HSL7,"Shulewitz MJ, et al. (1999)-10490648-Two-hybrid",physical,manually curated,Hit,Two-hybrid,10490648,"Shulewitz MJ, et al. (1999) Hsl7 localizes to a septin ring and serves as an adapter in a regulatory pathway that relieves tyrosine phosphorylation of Cdc28 protein kinase in Saccharomyces cerevisiae. Mol Cell Biol 19(10):7123-37",150094,10419
ESA1,HSP104,"Lin YY, et al. (2009)-19303850-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,19303850,"Lin YY, et al. (2009) Protein acetylation microarray reveals that NuA4 controls key metabolic target regulating gluconeogenesis. Cell 136(6):1073-84",11143,81570
MKK1,BCK1,"Hruby A, et al. (2011)-21118957-PCA",physical,high-throughput,Hit,PCA,21118957,"Hruby A, et al. (2011) A constraint network of interactions: protein-protein interaction analysis of the yeast type II phosphatase Ptc1p and its adaptor protein Nbp2p. J Cell Sci 124(Pt 1):35-46",9448,4214
GLC8,GIS2,"Scherrer T, et al. (2011)-21232131-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,21232131,"Scherrer T, et al. (2011) Defining potentially conserved RNA regulons of homologous zinc-finger RNA-binding proteins. Genome Biol 12(1):R3",5504,7555
MYO2,KEL1,"Wang Y, et al. (2012)-22875988-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,22875988,"Wang Y, et al. (2012) Coiled-coil networking shapes cell molecular machinery. Mol Biol Cell 23(19):3911-22",53904,122773
GPD1,HSP82,"Girstmair H, et al. (2019)-31399574-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,31399574,"Girstmair H, et al. (2019) The Hsp90 isoforms from S. cerevisiae differ in structure, function and client range. Nat Commun 10(1):3626",23171,7184
SSB2,CDC12,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Bait,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",3304,989
SPT20,CMK1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Hit,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",55578,5681
LAG1,LAC1,"Ito T, et al. (2001)-11283351-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,11283351,"Ito T, et al. (2001) A comprehensive two-hybrid analysis to explore the yeast protein interactome. Proc Natl Acad Sci U S A 98(8):4569-74",253782,29956
PSH1,HHF2,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",10739,8364
IMD4,PDE2,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",3615,5141
HTB1,HTA1,"Mosammaparast N, et al. (2001)-11309407-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,11309407,"Mosammaparast N, et al. (2001) Nuclear import of histone H2A and H2B is mediated by a network of karyopherins. J Cell Biol 153(2):251-62",255626,8332
ARP7,HTA1,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",440915,8330
IKS1,GTR1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",149420,10670
STE20,CLN2,"Bhaduri S, et al. (2015)-25619768-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,25619768,"Bhaduri S, et al. (2015) A docking interface in the cyclin Cln2 promotes multi-site phosphorylation of substrates and timely cell-cycle entry. Curr Biol 25(3):316-325",5063,898
HHT1,SNF1,"Lo WS, et al. (2001)-11498592-Biochemical Activity",physical,manually curated,Hit,Biochemical Activity,11498592,"Lo WS, et al. (2001) Snf1--a histone kinase that works in concert with the histone acetyltransferase Gcn5 to regulate transcription. Science 293(5532):1142-6",440093,83931
NPA3,MEK1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Hit,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",11321,85366
MLP2,PAB1,"Bretes H, et al. (2014)-24500206-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,24500206,"Bretes H, et al. (2014) Sumoylation of the THO complex regulates the biogenesis of a subset of mRNPs. Nucleic Acids Res 42(8):5043-58",132320,5939
SNF1,HOS4,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",5563,29123
PHO2,HHT2,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",3228,8357
VAM3,PEP5,"Collins KM, et al. (2005)-15889152-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,15889152,"Collins KM, et al. (2005) Sec17p and HOPS, in distinct SNARE complexes, mediate SNARE complex disruption or assembly for fusion. EMBO J 24(10):1775-86",55014,55823
GIP3,HTA1,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",10392,8337
SLA1,SYP1,"Merlini L, et al. (2015)-26179915-Affinity Capture-MS",physical,manually curated,Hit,Affinity Capture-MS,26179915,"Merlini L, et al. (2015) Rho1- and Pkc1-dependent phosphorylation of the F-BAR protein Syp1 contributes to septin ring assembly. Mol Biol Cell 26(18):3245-62",9402,29763
PDE2,HHT1,"MacGilvray ME, et al. (2018)-29738528-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,29738528,"MacGilvray ME, et al. (2018) Network inference reveals novel connections in pathways regulating growth and defense in the yeast salt response. PLoS Comput Biol 13(5):e1006088",5150,8353
RSE1,HHT1,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",23450,8353
CLB2,SSB2,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Hit,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",595,3311
SEC5,SSB1,"Babu M, et al. (2012)-22940862-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22940862,"Babu M, et al. (2012) Interaction landscape of membrane-protein complexes in Saccharomyces cerevisiae. Nature 489(7417):585-9",55770,3303
VPS34,PTC3,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",5291,5494
MAK31,SRO9,"Schenk L, et al. (2012)-22271760-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,22271760,"Schenk L, et al. (2012) La-motif-dependent mRNA association with Slf1 promotes copper detoxification in yeast. RNA 18(3):449-61",51691,23367
ATG1,PFK26,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",8408,5208
CPR1,SIF2,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",730262,84321
TIF4631,PAB1,"Park EH, et al. (2013)-23184954-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,23184954,"Park EH, et al. (2013) Yeast eukaryotic initiation factor 4B (eIF4B) enhances complex assembly between eIF4A and eIF4G in vivo. J Biol Chem 288(4):2340-54",1982,1996
GAL83,SNF1,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",5564,5562
NTO1,ULP2,"Srikumar T, et al. (2013)-23712011-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,23712011,"Srikumar T, et al. (2013) A global S. cerevisiae small ubiquitin-related modifier (SUMO) system interactome. Mol Syst Biol 9:668",23774,26054
CPR1,SIF2,"Gavin AC, et al. (2002)-11805826-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,11805826,"Gavin AC, et al. (2002) Functional organization of the yeast proteome by systematic analysis of protein complexes. Nature 415(6868):141-7",5478,6907
UBC4,RSP5,"Stoffregen MC, et al. (2012)-22483105-Co-crystal Structure",physical,manually curated,Hit,Co-crystal Structure,22483105,"Stoffregen MC, et al. (2012) Methionine scanning as an NMR tool for detecting and analyzing biomolecular interaction surfaces. Structure 20(4):573-81",55284,83737
PSH1,HTB2,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",342931,8344
SAP185,SNP1,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",9701,6625
CCT3,STE4,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",8195,2784
HHF1,HHT2,"Johnson A, et al. (2009)-19782027-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,19782027,"Johnson A, et al. (2009) Reconstitution of heterochromatin-dependent transcriptional gene silencing. Mol Cell 35(6):769-81",8363,8350
RPB8,SET2,"Mosley AL, et al. (2013)-23418395-Affinity Capture-MS",physical,manually curated,Hit,Affinity Capture-MS,23418395,"Mosley AL, et al. (2013) Quantitative proteomics demonstrates that the RNA polymerase II subunits Rpb4 and Rpb7 dissociate during transcriptional elongation. Mol Cell Proteomics 12(6):1530-8",5437,79813
LYS21,HSP82,"Millson SH, et al. (2005)-15879519-Two-hybrid",physical,high-throughput,Hit,Two-hybrid,15879519,"Millson SH, et al. (2005) A two-hybrid screen of the yeast proteome for Hsp90 interactors uncovers a novel Hsp90 chaperone requirement in the activity of a stress-activated mitogen-activated protein kinase, Slt2p (Mpk1p). Eukaryot Cell 4(5):849-60",3155,3320
PHO2,PHO4,"Liu C, et al. (2000)-10884387-Two-hybrid",physical,manually curated,Bait,Two-hybrid,10884387,"Liu C, et al. (2000) Regulation of the yeast transcriptional factor PHO2 activity by phosphorylation. J Biol Chem 275(41):31972-8",3231,388585
BIK1,CCR4,"Miller JE, et al. (2018)-29158339-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,29158339,"Miller JE, et al. (2018) Genome-Wide Mapping of Decay Factor-mRNA Interactions in Yeast Identifies Nutrient-Responsive Transcripts as Targets of the Deadenylase Ccr4. G3 (Bethesda) 8(1):315-330",7461,57472
SMY1,MYO2,"Beningo KA, et al. (2000)-10679024-Two-hybrid",physical,manually curated,Hit,Two-hybrid,10679024,"Beningo KA, et al. (2000) The yeast kinesin-related protein Smy1p exerts its effects on the class V myosin Myo2p via a physical interaction. Mol Biol Cell 11(2):691-702",55083,4651
MUP1,LYP1,"Tarassov K, et al. (2008)-18467557-PCA",physical,high-throughput,Bait,PCA,18467557,"Tarassov K, et al. (2008) An in vivo map of the yeast protein interactome. Science 320(5882):1465-70",6541,9057
MYO1,RTN1,"Santiago E, et al. (2016)-26921299-Affinity Capture-MS",physical,manually curated,Bait,Affinity Capture-MS,26921299,"Santiago E, et al. (2016) Novel Interactome of Saccharomyces cerevisiae Myosin Type II Identified by a Modified Integrated Membrane Yeast Two-Hybrid (iMYTH) Screen. G3 (Bethesda) 6(5):1469-74",132320,10313
RTN1,PDR5,"Snider J, et al. (2013)-23831759-PCA",physical,high-throughput,Hit,PCA,23831759,"Snider J, et al. (2013) Mapping the functional yeast ABC transporter interactome. Nat Chem Biol 9(9):565-72",6253,9619
SEC1,HHF2,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",6813,8368
SDH5,SSB2,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Hit,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",54949,3303
HMT1,DBF2,"Messier V, et al. (2013)-23706744-PCA",physical,high-throughput,Bait,PCA,23706744,"Messier V, et al. (2013) A nutrient-responsive pathway that determines M phase timing through control of B-cyclin mRNA stability. Cell 153(5):1080-93",10196,1760
HNM1,OSH7,"Tarassov K, et al. (2008)-18467557-PCA",physical,high-throughput,Bait,PCA,18467557,"Tarassov K, et al. (2008) An in vivo map of the yeast protein interactome. Science 320(5882):1465-70",9057,114884
AVT1,BAP2,"Miller JP, et al. (2005)-16093310-PCA",physical,high-throughput,Hit,PCA,16093310,"Miller JP, et al. (2005) Large-scale identification of yeast integral membrane protein interactions. Proc Natl Acad Sci U S A 102(34):12123-8",285641,23657
RPO21,RSP5,"Huibregtse JM, et al. (1997)-9108033-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,9108033,"Huibregtse JM, et al. (1997) The large subunit of RNA polymerase II is a substrate of the Rsp5 ubiquitin-protein ligase. Proc Natl Acad Sci U S A 94(8):3656-61",11128,23327
HHF1,FAA4,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8360,2182
RPL13A,SSB1,"Hübscher V, et al. (2016)-27001512-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,27001512,"Hübscher V, et al. (2016) The Hsp70 homolog Ssb and the 14-3-3 protein Bmh1 jointly regulate transcription of glucose repressed genes in Saccharomyces cerevisiae. Nucleic Acids Res 44(12):5629-45",6137,3304
SRS2,SMT3,"Kolesar P, et al. (2012)-22705796-Two-hybrid",physical,manually curated,Bait,Two-hybrid,22705796,"Kolesar P, et al. (2012) Dual roles of the SUMO-interacting motif in the regulation of Srs2 sumoylation. Nucleic Acids Res 40(16):7831-43",84893,6613
HTA1,SIR2,"Martino F, et al. (2009)-19217406-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,19217406,"Martino F, et al. (2009) Reconstitution of yeast silent chromatin: multiple contact sites and O-AADPR binding load SIR complexes onto nucleosomes in vitro. Mol Cell 33(3):323-34",83740,23408
TOM1,HTA1,"Sung MK, et al. (2016)-27552055-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,27552055,"Sung MK, et al. (2016) A conserved quality-control pathway that mediates degradation of unassembled ribosomal proteins. Elife 5",51366,3014
STE13,SNX3,"Harrison MS, et al. (2014)-24344282-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,24344282,"Harrison MS, et al. (2014) A mechanism for retromer endosomal coat complex assembly with cargo. Proc Natl Acad Sci U S A 111(1):267-72",91039,6642
OAC1,SSB1,"Babu M, et al. (2012)-22940862-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22940862,"Babu M, et al. (2012) Interaction landscape of membrane-protein complexes in Saccharomyces cerevisiae. Nature 489(7417):585-9",284723,3304
SSB1,RCO1,"Gong Y, et al. (2009)-19536198-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,19536198,"Gong Y, et al. (2009) An atlas of chaperone-protein interactions in Saccharomyces cerevisiae: implications to protein folding pathways in the cell. Mol Syst Biol 5:275",6782,23613
BCK1,MSB3,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",4214,55357
HHF2,HHT2,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8363,8358
KIC1,HOG1,"MacGilvray ME, et al. (2018)-29738528-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,29738528,"MacGilvray ME, et al. (2018) Network inference reveals novel connections in pathways regulating growth and defense in the yeast salt response. PLoS Comput Biol 13(5):e1006088",51765,5602
RPL28,ULP2,"Liang J, et al. (2017)-28487408-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,28487408,"Liang J, et al. (2017) Recruitment of a SUMO isopeptidase to rDNA stabilizes silencing complexes by opposing SUMO targeted ubiquitin ligase activity. Genes Dev. 31(8):802-815",6157,26054
SNF2,TAF14,Smith CL and Peterson CL (2003)-12893180-Affinity Capture-MS,physical,manually curated,Bait,Affinity Capture-MS,12893180,Smith CL and Peterson CL (2003) Coupling tandem affinity purification and quantitative tyrosine iodination to determine subunit stoichiometry of protein complexes. Methods 31(1):104-9,6595,4298
HTB1,HHT2,"Piro AS, et al. (2012)-22699496-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,22699496,"Piro AS, et al. (2012) Small region of Rtf1 protein can substitute for complete Paf1 complex in facilitating global histone H2B ubiquitylation in yeast. Proc Natl Acad Sci U S A 109(27):10837-42",8343,8355
NAB2,EMP24,"Batisse J, et al. (2009)-19840948-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,19840948,"Batisse J, et al. (2009) Purification of nuclear poly(A)-binding protein Nab2 reveals association with the yeast transcriptome and a messenger ribonucleoprotein core structure. J Biol Chem 284(50):34911-7",79882,353376
NAM7,BEM2,"Dehecq M, et al. (2018)-30275269-Affinity Capture-MS",physical,manually curated,Bait,Affinity Capture-MS,30275269,"Dehecq M, et al. (2018) Nonsense-mediated mRNA decay involves two distinct Upf1-bound complexes. EMBO J 37(21)",5976,51291
ARP4,ACT1,"Knoll KR, et al. (2018)-30177756-Co-crystal Structure",physical,manually curated,Hit,Co-crystal Structure,30177756,"Knoll KR, et al. (2018) The nuclear actin-containing Arp8 module is a linker DNA sensor driving INO80 chromatin remodeling. Nat Struct Mol Biol 25(9):823-832",140625,345651
BCY1,PTP1,"Galello F, et al. (2014)-25065647-Protein-peptide",physical,manually curated,Bait,Protein-peptide,25065647,"Galello F, et al. (2014) Interacting proteins of protein kinase A regulatory subunit in Saccharomyces cerevisiae. J Proteomics 109:261-75",5577,5800
APL5,HHF2,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8943,8370
RPL28,DHH1,"Cary GA, et al. (2015)-26392412-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,26392412,"Cary GA, et al. (2015) Proteomic Analysis of Dhh1 Complexes Reveals a Role for Hsp40 Chaperone Ydj1 in Yeast P-Body Assembly. G3 (Bethesda) 5(11):2497-511",6157,11218
HTA2,HHT1,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8331,8968
PAT1,VMR1,"Mitchell SF, et al. (2013)-23222640-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,23222640,"Mitchell SF, et al. (2013) Global analysis of yeast mRNPs. Nat Struct Mol Biol 20(1):127-33",219988,10060
BIR1,IPL1,Thomas S and Kaplan KB (2007)-17652458-Affinity Capture-Western,physical,manually curated,Bait,Affinity Capture-Western,17652458,Thomas S and Kaplan KB (2007) A Bir1p Sli15p kinetochore passenger complex regulates septin organization during anaphase. Mol Biol Cell 18(10):3820-34,329,6795
TAF5,TAF9,"Layer JH, et al. (2010)-20189987-Two-hybrid",physical,manually curated,Bait,Two-hybrid,20189987,"Layer JH, et al. (2010) Direct transactivator-transcription factor IID (TFIID) contacts drive yeast ribosomal protein gene transcription. J Biol Chem 285(20):15489-99",27339,51616
HTA2,HHF1,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",83740,8359
IXR1,ADH1,"Barreiro-Alonso A, et al. (2018)-29438513-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,29438513,"Barreiro-Alonso A, et al. (2018) The HMGB protein Ixr1 interacts with Ssn8 and Tdh3 involved in transcriptional regulation. FEMS Yeast Res 18(2)",642623,9540
CDC24,SIS1,"Gavin AC, et al. (2002)-11805826-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,11805826,"Gavin AC, et al. (2002) Functional organization of the yeast proteome by systematic analysis of protein complexes. Nature 415(6868):141-7",115557,11080
TEF1,NUP84,"Alber F, et al. (2007)-18046405-Affinity Capture-MS",physical,manually curated,Hit,Affinity Capture-MS,18046405,"Alber F, et al. (2007) Determining the architectures of macromolecular assemblies. Nature 450(7170):683-94",1917,57122
SQT1,ARX1,"Loibl M, et al. (2014)-24371142-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,24371142,"Loibl M, et al. (2014) The drug diazaborine blocks ribosome biogenesis by inhibiting the AAA-ATPase Drg1. J Biol Chem 289(7):3913-22",14,7512
FKH2,NDD1,"Pic-Taylor A, et al. (2004)-15509804-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,15509804,"Pic-Taylor A, et al. (2004) Regulation of cell cycle-specific gene expression through cyclin-dependent kinase-mediated phosphorylation of the forkhead transcription factor Fkh2p. Mol Cell Biol 24(22):10036-46",2305,8403
HTA1,HHT1,Kurumizaka H and Wolffe AP (1997)-9372928-Reconstituted Complex,physical,manually curated,Hit,Reconstituted Complex,9372928,Kurumizaka H and Wolffe AP (1997) Sin mutations of histone H3: influence on nucleosome core structure and function. Mol Cell Biol 17(12):6953-69,221613,8352
PHO2,CDC28,"Liu C, et al. (2000)-10884387-Two-hybrid",physical,manually curated,Hit,Two-hybrid,10884387,"Liu C, et al. (2000) Regulation of the yeast transcriptional factor PHO2 activity by phosphorylation. J Biol Chem 275(41):31972-8",3206,983
TCB3,RPN11,"Guerrero C, et al. (2008)-18757749-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,18757749,"Guerrero C, et al. (2008) Characterization of the proteasome interaction network using a QTAX-based tag-team strategy and protein interaction network analysis. Proc Natl Acad Sci U S A 105(36):13333-8",9783,10213
HHT2,UTP22,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8352,65083
RTK1,PAT1,"Mitchell SF, et al. (2013)-23222640-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,23222640,"Mitchell SF, et al. (2013) Global analysis of yeast mRNPs. Nat Struct Mol Biol 20(1):127-33",30811,197135
RAD53,NDD1,"Yelamanchi SK, et al. (2014)-24324010-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,24324010,"Yelamanchi SK, et al. (2014) Genotoxic stress prevents Ndd1-dependent transcriptional activation of G2/M-specific genes in Saccharomyces cerevisiae. Mol Cell Biol 34(4):711-24",65975,6662
