Yeast Gene,Entrez,Source
CPR1,5478;730262;10450;10105;5903;400966;653489;285190;84220;729540,Ensembl;HomoloGene
CPR2,5479;5480;10465;51645;23759;53938;85313,Ensembl;Panther;TreeFam;HomoloGene
CPR3,5478;730262;10450;10105;5903;400966;653489;285190;84220;729540,Ensembl;HomoloGene;Panther
CPR4,5479,Panther
CPR5,5479;5480;10465;51645;23759;53938;85313,Ensembl;HomoloGene;Panther;TreeFam
CPR6,4820;5481;9360,Ensembl;HomoloGene;TreeFam;Panther
CPR7,5481;9360,TreeFam;Panther
CPR8,5480,Panther
CPT1,85465,Ensembl;Panther;TreeFam
CRC1,788,Ensembl;HomoloGene;Panther;TreeFam
CRD1,54675,Ensembl;Panther;TreeFam
CRG1,51805;155368,Panther
CRM1,7514,Ensembl;HomoloGene;Panther;TreeFam
CRN1,11151;57175;23603;7464;10391;79585,Ensembl;Panther;TreeFam;HomoloGene
CRP1,5564;5565,Panther
CRS1,833;79587,Ensembl;HomoloGene;Panther;TreeFam
CRT10,51362,Panther
CRZ1,23119;130497;116039;639;92822,Panther;Ensembl
CSE1,1434,Ensembl;HomoloGene;Panther;TreeFam
CSE4,1058,Ensembl;Panther;TreeFam
CSF1,84162,Ensembl
CSL4,51013,Ensembl;HomoloGene;Panther;TreeFam
CSM3,54962,Panther
CSN9,50813;64708,Panther
CSR2,57561;10628,Panther
CST26,56894;56895;55326;253558;9926,Ensembl;Panther;TreeFam
CST6,1386;11016;3725;3726;3727,Panther;TreeFam
CST9,285498,Panther
CTA1,847,Ensembl;HomoloGene;Panther;TreeFam
CTF18,63922,Ensembl;Panther
CTF3,2491;85437,Panther
CTF4,11169,Ensembl;Panther
CTF8,54921,Panther
CTH1,7538;677;678,Ensembl;Panther
CTK1,8558;728642;984;51755;8621;1025,Ensembl;Panther
CTK2,8812;904;905,Panther
CTP1,6576,Ensembl;HomoloGene;Panther;TreeFam
CTR1,1317;1318,Panther
CTR2,1317;1318,Ensembl;Panther;TreeFam
CTR3,1317;1318,Panther
CTR86,25814,Ensembl;Panther
CTR9,9646,Ensembl;Panther;TreeFam
CTS2,1116;1117;27159;1118;5016,Ensembl
CTT1,847,Panther;TreeFam
CUE1,550,Panther
CUE2,10443,Panther
CUE3,84164,Panther
CUE4,550,Panther
CUE5,54472,Panther
CUL3,8452;8065,Panther;TreeFam
CUP9,4211;4212;5087;5089;5090;80714;5316;63876;7050;60436;90316;90655,Ensembl;Panther;TreeFam
CUS1,10992,Ensembl;Panther
CUS2,27336,Ensembl;Panther
CUZ1,90637;130617,Panther
CWC22,57703,Ensembl;HomoloGene;Panther
CWC24,7737,Ensembl;Panther;TreeFam
CWC27,5479,Panther
CWH41,7841,Ensembl;Panther;TreeFam
CYB2,54363;51179,Ensembl;Panther;TreeFam;HomoloGene
CYB5,1528;80777,Ensembl;HomoloGene
CYC1,54205,HomoloGene;Panther;TreeFam
CYC2,51706;51700;1727;51167,Panther
CYC3,3052,Ensembl;TreeFam
CYC7,54205,Panther;TreeFam
CYC8,7403;23135;7404,Ensembl;Panther
CYR1,23143;122769;55379;79705;23239;23035,Panther;Ensembl
CYS3,1491,Ensembl;HomoloGene;Panther;TreeFam
CYS4,875,Ensembl;HomoloGene;Panther;TreeFam
CYT1,1537,Ensembl;HomoloGene;Panther;TreeFam
CYT2,3052,HomoloGene;Panther;TreeFam
DAK1,26007,Ensembl;Panther;TreeFam
DAK2,26007,Ensembl;Panther;TreeFam
DAL1,1400;1807;1808;1809;10570;56896,Ensembl
DAL2,55821,Ensembl;HomoloGene;Panther;TreeFam
DAL80,2623;2624;2625;2626;140628;2627;7227,Ensembl
DAP1,10857;10424,Ensembl;HomoloGene;Panther;TreeFam
DAP2,57628;1803;1804;54878;91039;2191,Ensembl;Panther;TreeFam;HomoloGene
DAS2,83549;7371,Panther;TreeFam
DBF2,1760,TreeFam
DBF20,1760,TreeFam
DBF4,10926;80174,Panther
DBP1,1653;1654;8653;54514;51428,Ensembl;Panther;TreeFam;HomoloGene
DBP10,79039,Ensembl;HomoloGene;Panther;TreeFam
DBP2,10521;11325;55510;1655,Ensembl;Panther;TreeFam;HomoloGene
DBP3,9188;79009,Ensembl
DBP5,11269;29118,Ensembl;Panther;TreeFam
DBP6,11056,Panther
DBP7,64794,Ensembl;HomoloGene;TreeFam
DBP9,54606,Ensembl;HomoloGene;Panther;TreeFam
DBR1,51163,Ensembl;Panther;TreeFam
DCC1,79075,Panther
DCD1,1635,Ensembl;Panther;TreeFam
DCI1,549;9085;9426;9425;1891;55862;1892;10455,Ensembl;Panther;TreeFam
DCK1,1793;55619;139818;1794;1795;9732;57572;85440;81704;23348,Ensembl;Panther
DCN1,54165;123879;23142;84259,Ensembl;TreeFam;Panther
DCP1,55802;196513,Panther
DCP2,167227,Ensembl;Panther;TreeFam
DCS1,28960,Ensembl;Panther;TreeFam
DCS2,28960,Ensembl;Panther;TreeFam
DDC1,5883;144715,Panther
DDI1,56675,Panther;TreeFam
DDL1,80821;23259,Ensembl;Panther;TreeFam
DDP1,170685;55190;11165;11163,Panther;TreeFam
DED1,1653;1654;8653;54514;51428,Ensembl;Panther;TreeFam;HomoloGene
DED81,1615;4677,Panther;Ensembl;HomoloGene;TreeFam
DEG1,83480,Ensembl;HomoloGene;Panther;TreeFam
DEP1,25855;64426,Panther
DER1,51009;91319,Panther
DFG10,79644,Panther;TreeFam
DFM1,79139,Panther;TreeFam
DFR1,1719;200895,Ensembl;Panther;TreeFam
DGA1,158833;158835;84649;347516;116255;80168;346606,Ensembl;Panther;HomoloGene
DGR2,54806,Ensembl
DHH1,11218;1656,Ensembl;HomoloGene;Panther;TreeFam
DIA4,54938,Ensembl;HomoloGene;Panther;TreeFam
DIB1,10907,HomoloGene;Panther;TreeFam
DIC1,1468;8402;9016;9481;253512;7350;7352,Ensembl;HomoloGene;Panther;TreeFam
DID2,5119;57132,Ensembl;Panther
DID4,27243;25978,Ensembl;HomoloGene;Panther;TreeFam
DIE2,84920,Ensembl;HomoloGene;Panther;TreeFam
DIM1,27292;51106;64216,HomoloGene;Panther;TreeFam
DIN7,9156,Ensembl;Panther;TreeFam
DIP2,10885,HomoloGene;Panther;TreeFam
DIP5,56301;23657;8140;9057;9056;23428;11136,Panther
DIS3,22894;115752;129563,Ensembl;HomoloGene;Panther;TreeFam
DIT2,1553;1548;1549;1555;1562;1557;1558;1559;1565;1571;1572;1573;120227;29785;113612;54905;10858,Panther;TreeFam
DLD1,8540;728294;197257,Ensembl;Panther;TreeFam
DLD2,8540;728294;197257,Panther;Ensembl;HomoloGene;TreeFam
DLD3,8540;728294;197257,Panther;Ensembl;TreeFam
DMA1,9025,Panther
DMA2,9025,Panther
DMC1,11144,Ensembl;HomoloGene;Panther;TreeFam
DNA2,1763,Ensembl;TreeFam
DNF1,57194;5205;57198;148229;79895,HomoloGene;Panther;TreeFam
DNF2,57194;5205;57198;148229;79895,Ensembl;HomoloGene;Panther;TreeFam
DNF3,57194;5205;57198;148229;79895,Panther
DNL4,3981,Ensembl;HomoloGene;Panther;TreeFam
DNM1,1759;10059;1785;26052;4976,Panther;Ensembl;HomoloGene;TreeFam
DOA1,9373,Ensembl;HomoloGene;Panther;TreeFam
DOA4,11274;9099;10868;27005;23032;9101,Ensembl;TreeFam
DOC1,10393,Ensembl;Panther;TreeFam
DOM34,53918,Panther
DON1,54472,Panther
DOP1,9980,Ensembl;Panther
DOT1,84444,Ensembl;Panther
DPB11,11073,Panther
DPB2,5427,Ensembl;Panther;TreeFam
DPB4,1810;4801;54107,Panther;TreeFam
DPC29,51204,Ensembl;HomoloGene;Panther;TreeFam
DPH1,1801,Ensembl;HomoloGene;Panther;TreeFam
DPH2,1802,Ensembl;HomoloGene;Panther;TreeFam
DPH5,51611,HomoloGene;Panther
DPL1,8879,Ensembl;HomoloGene;Panther;TreeFam
DPM1,29880;8813,Panther;Ensembl
DPP1,84513,Ensembl;Panther;TreeFam
DPS1,1615;55157;3735;4677;79731,HomoloGene;Panther;TreeFam
DRE2,57019,Ensembl;Panther;TreeFam
DRN1,55280,Ensembl;Panther;TreeFam
DRS1,55661,Ensembl;TreeFam
DRS2,23250;23200;286410;10396;51761;5205;57198;148229;79895,Ensembl;TreeFam;HomoloGene;Panther
DSC2,57414,Panther
DSK2,84993;29979;29978;50613;56893,Panther;Ensembl
DSN1,79980,Panther
DSS1,129563,Panther
DSS4,5877,Panther
DST1,6917;6919;6920,Ensembl;Panther;TreeFam;HomoloGene
DTD1,92675,Ensembl;HomoloGene;Panther;TreeFam
DUF1,57599,Panther
DUG1,84735;55748,Ensembl;TreeFam;HomoloGene;Panther
DUG2,84735;55748,TreeFam;Panther
DUN1,8536;57118;57172;79012;11200;139728;5587;25865;23683;5681,TreeFam;Ensembl
"DUR1,2",56922;5091;5095,Ensembl;Panther;TreeFam
DUR3,159963;6528;8884;160728,Panther
DUT1,1854,Ensembl;Panther;TreeFam
DXO1,1797,Panther
DYN1,1778,Panther;TreeFam
DYN2,10126;8655,Ensembl;Panther
DYS1,1725,Ensembl;HomoloGene;Panther;TreeFam
EAF3,10933;9643;10943,Ensembl;Panther;TreeFam
EAF6,64769,Panther
EAF7,55257,Panther;TreeFam
EAR1,57610;10048,Panther
EBP2,10969,Ensembl;Panther;TreeFam
EBS1,23381;23293;9887,Panther
ECI1,549;9085;9426;9425;1891;55862;1892;10455,Ensembl;Panther;TreeFam
ECM10,3313,Ensembl;Panther;TreeFam
ECM14,1357;1358;1359;51200;93979;57094;1360;1361;130749,Ensembl;Panther;TreeFam;HomoloGene
ECM18,51099;94009,TreeFam;Panther
ECM2,55696,Ensembl;Panther
ECM21,57561;10628,Panther
ECM23,100125288,Panther
ECM27,80024,Panther
ECM30,283987,Panther
ECM32,85441;5976,Ensembl;Panther
ECM38,2678;728441;2687;124975;2686;92086;91227;728226,Ensembl;HomoloGene;Panther;TreeFam
ECM5,3720;8242;8284,Panther
ECO1,114799;157570,Panther
ECT1,5833,Panther;TreeFam
EDC3,80153,Panther
EDE1,10938;30846;2060;6453;50618;85021;9185;6345,Ensembl;TreeFam;Panther
EEB1,84696;11057;171586,Ensembl;Panther;TreeFam
EFB1,1933;1936,Ensembl;HomoloGene;Panther;TreeFam
EFM2,196483;653333;55199,Panther
EFM3,196483;85002;653333;55199,Panther;TreeFam
EFM6,151194;25895;196541;79609,Ensembl;TreeFam
EFR3,23167,Panther
EFT1,1938;9343,Ensembl;Panther;TreeFam
EFT2,1938,Panther;TreeFam
EGD1,689,Ensembl;Panther;TreeFam
EGD2,4666;342538,Ensembl;Panther;TreeFam
EHD3,9085;9426;9425;26275,Panther;Ensembl;HomoloGene;TreeFam
EHT1,84696;11057;171586,Ensembl;Panther;TreeFam
EKI1,1119;1120;55500;55224,Ensembl;Panther;TreeFam
ELC1,6921,Ensembl;Panther;TreeFam
ELG1,79915,Panther
ELM1,84254;10645,Panther
ELO1,64834;54898;83401;6785;60481;79071;79993,Ensembl;TreeFam
ELO2,64834;54898;83401;6785;60481;79071;79993,Ensembl
ELO3,64834;54898;83401;6785;60481;79071;79993,Ensembl;TreeFam
ELP2,55250,Ensembl;HomoloGene;TreeFam
ELP3,55140,Ensembl;HomoloGene;Panther;TreeFam
ELP4,26610,Panther
ELP6,54859,Panther
EMA19,27346,Panther;TreeFam
EMA35,114815;57537;22986;6653;6272,Ensembl
EMC2,9694,Panther
EMC4,51234,Ensembl;Panther;TreeFam
EMG1,10436,HomoloGene;Panther;TreeFam
EMI2,2645;3098;3099;3101,Ensembl;Panther;TreeFam
EMP24,148022;353376,Panther
EMP46,10960;81562,Panther
EMP47,10960;81562,Panther
EMP65,202018,Ensembl;Panther;TreeFam
EMP70,9375,Ensembl;TreeFam
ENA1,27032;9914,TreeFam
ENA2,27032;9914,TreeFam
ENA5,27032;9914,TreeFam
ENO1,2023;2026;2027,Ensembl;Panther;TreeFam;HomoloGene
ENO2,2023;2026;2027,Panther;TreeFam;HomoloGene
ENP1,705,Ensembl;HomoloGene;Panther;TreeFam
ENP2,79954,Ensembl;HomoloGene;Panther;TreeFam
ENT1,29924;22905;55040,Panther;TreeFam
ENT2,29924;22905;55040,Panther;TreeFam
ENT3,9685;29924;22905;55040;84073,Ensembl;Panther;TreeFam
ENT4,29924;22905;55040,Panther
ENT5,29924;22905;55040,Panther
ENV7,8576,Ensembl;HomoloGene;Panther;TreeFam
ENV9,79758;147015;51109;145226;51741,Ensembl;HomoloGene
EPL1,80314;26122,Ensembl;Panther
EPS1,81542;54495,Panther
EPT1,85465,Ensembl;Panther;TreeFam
ERB1,23246,Ensembl;HomoloGene;Panther;TreeFam
ERC1,55244;146802,Ensembl;Panther;TreeFam
ERD2,10945;11014,Ensembl;HomoloGene;Panther;TreeFam
ERF2,25921;29801;51114,Ensembl;HomoloGene
ERG1,6713,Ensembl;HomoloGene;Panther;TreeFam
ERG10,38,Ensembl;HomoloGene;TreeFam
ERG11,1595,Ensembl;HomoloGene;Panther;TreeFam
ERG12,4598,Ensembl;HomoloGene;Panther;TreeFam
ERG13,3157;3158,Ensembl;HomoloGene;Panther;TreeFam
ERG2,10280,Ensembl;HomoloGene;Panther;TreeFam
ERG20,2224,Ensembl;HomoloGene;Panther;TreeFam
ERG24,1717;3930;7108,Ensembl;HomoloGene;Panther;TreeFam
ERG25,9023;6307,Ensembl;Panther;TreeFam
ERG26,2762;3283;3284;80270;50814,Panther;Ensembl;HomoloGene;TreeFam
ERG27,1666;51144;3293;51478,Panther;Ensembl;HomoloGene;TreeFam
ERG28,11161,Panther;TreeFam
ERG3,6309,HomoloGene;Panther;TreeFam
ERG4,1717,TreeFam
ERG5,1592;56603;340665,Ensembl;TreeFam
ERG6,51805;155368,Panther
ERG7,4047,Ensembl;HomoloGene;Panther;TreeFam
ERG9,2222,Ensembl;HomoloGene;Panther;TreeFam
ERO1,30001;56605,Ensembl;HomoloGene;Panther;TreeFam
ERP1,222068,Ensembl;HomoloGene;Panther;TreeFam
ERP2,11018,Panther;TreeFam
ERP3,148022;353376;11018,Panther;TreeFam
ERP4,11018,Panther;TreeFam
ERP5,222068,Ensembl;Panther;TreeFam
ERP6,222068,Ensembl;HomoloGene;Panther;TreeFam
ERR1,2023;2026;2027,HomoloGene;Panther;TreeFam
ERR2,2023;2026;2027,Ensembl;HomoloGene;Panther;TreeFam
ERR3,2023;2026;2027,HomoloGene;Panther;TreeFam
ERS1,1497,Ensembl
ERV1,2671,Ensembl;Panther;TreeFam
ERV14,10175;254263,Panther;TreeFam;Ensembl
ERV15,10175;254263,Panther;TreeFam;Ensembl
ERV2,2671,Panther;TreeFam
ERV25,10972,Ensembl;HomoloGene;Panther;TreeFam
ERV29,6836,Ensembl;HomoloGene;Panther;TreeFam
ERV41,51290,HomoloGene;Panther
ESA1,10524;7994;23522;11143;84148,Ensembl;HomoloGene;Panther;TreeFam
ESBP6,6566;117247;162515;387700;6567;9123;9122;9121;9120;9194;23539;220963,TreeFam
ESC2,7341,Panther
ESP1,9700,Ensembl;Panther
ESS1,5300,Ensembl;HomoloGene;Panther;TreeFam
EST1,23381;23293;9887,Panther
EST2,7015,Ensembl;Panther
ETP1,8315,Ensembl;HomoloGene;Panther;TreeFam
ETR1,51102;6652;9540,Ensembl;HomoloGene;Panther;TreeFam
EUG1,23071;5034;64714;2923;54495,Ensembl;Panther;TreeFam
EXO1,9156,Ensembl;Panther;TreeFam
EXO70,23265,Panther
EXO84,149371,Panther
FAA1,2181;2182,Panther;Ensembl;TreeFam
FAA2,81616;2180;51703;23305,Ensembl;Panther
FAA3,2181;2182,Panther;Ensembl;TreeFam
FAA4,2181;2182,Panther;Ensembl;TreeFam
FAB1,200576;9765;79038;57732;9372,Ensembl;Panther;TreeFam
FAD1,80308,Ensembl;HomoloGene;Panther;TreeFam
FAL1,1973;1974;9775,Ensembl;HomoloGene;Panther;TreeFam
FAP1,4799,Ensembl;HomoloGene;TreeFam
FAR10,64753;9859;7871;80342,Panther
FAR8,6801;29966;29888,Panther
FAT1,376497;11001;11000;10999;10998;28965,Ensembl;Panther;TreeFam
FAU1,10588,HomoloGene;Panther;TreeFam
FBP1,2203;8789,Ensembl;HomoloGene;Panther;TreeFam
FBP26,5207;5208;5209;5210,Ensembl;TreeFam;HomoloGene;Panther
FCF2,30836,Panther
FCP1,9150,Ensembl;Panther;TreeFam
FDH1,1487;1488;9380;26227,Panther
FDH2,1487;1488;9380;26227,Panther
FES1,23640;64374,Panther;TreeFam
FHL1,2302;22887;2305;8456;3344;1112;121643;2308;2309;4303;100132074;27086;93986;50943;116113;283150,Panther;Ensembl
FIG4,9896,Ensembl;HomoloGene;Panther;TreeFam
FIP1,81608,Ensembl;Panther
FIS1,51024,Ensembl;Panther;TreeFam
FKH1,2302;22887;2305;2308;2309;4303;100132074;27086;93986;50943;116113,Panther
FKH2,2302;22887;2305;2308;2309;4303;100132074;27086;93986;50943;116113,Panther
FLO1,1834;23524,Panther
FLO10,1834;23524,Panther
FLO11,1834;23524,Panther
FLO5,1834;23524,Panther
FLO8,23635;23648;170463,Panther
FLO9,1834;23524,Panther
FLX1,81034,HomoloGene;Panther;TreeFam
FMN1,55312,Ensembl;HomoloGene;Panther;TreeFam
FMO1,2326;2328;2329;2330,Ensembl
FMP10,117145;284486,Panther
FMP25,57679,Panther
FMP27,9703,Panther
FMP30,222236,Ensembl;Panther;TreeFam
FMP40,83642,Ensembl;TreeFam
FMP41,2184;81889,Panther;Ensembl;HomoloGene;TreeFam
FMP42,8501;124935,Ensembl;TreeFam
FMP48,4751;4752;91754,Panther
FMP52,10553,Ensembl;Panther;TreeFam
FMS1,259307;221656;196743;54498,Panther
FMT1,123263,Ensembl;TreeFam
FOL2,2643,Ensembl;HomoloGene;Panther;TreeFam
FOX2,622;873;874;51181;1666;26063;115817;79154;79758;10202;9249;10901;728635;317749;51635;25979;201140;10170;3248;3290;3291;3292;3028;51170;51144;345275;3294;3293;3295;8630;51478;7923;157506;51109;145226;5959;50700;6342;195814;121214;6697;51741,Panther;Ensembl;HomoloGene;TreeFam
FPK1,22983;23139;23031;84930;6446;10110;23678,Ensembl;TreeFam
FPR1,2280;2281;2287;2288;2289;8468;23770,Ensembl;TreeFam
FPR2,60681;51303;55033;2286;51661;11328,Ensembl;HomoloGene
FPS1,89872;360;364;366,Panther;TreeFam
FRA1,23173;254042;10988;5036;5184;7511;7512;63929,Panther;Ensembl;HomoloGene;TreeFam
FRD1,6389,Panther
FRE7,53905;50506,Panther
FRE8,53905;50506,Panther
FRK1,83942;23617;81629;283629;83983,Ensembl
FRQ1,2978;2979;9626;3208;3241;30820;30819;30818;80333;83988;23413;5957;7447,Ensembl;Panther;TreeFam;HomoloGene
FRS1,10056,HomoloGene;Panther;TreeFam
FRS2,2193,Ensembl;HomoloGene;Panther;TreeFam
FSF1,94081;118980;81855;119559;94097,Ensembl;TreeFam;Panther;HomoloGene
FSH1,124641,Ensembl;Panther
FSH2,124641,Panther
FSH3,124641,Panther
FUM1,158;435;2271,Panther;Ensembl;HomoloGene;TreeFam
FUN12,9669,Ensembl;Panther;TreeFam
FUN14,139341,Panther
FUN19,6871;93624,Panther
FUN26,2030;3177;55315;222962,HomoloGene;Panther;TreeFam
FUN30,56916,Ensembl
FUR1,139596,Ensembl;HomoloGene;TreeFam
FUS3,5594;5595;5596;5597;5598;51701,Ensembl;Panther;TreeFam;HomoloGene
FYV10,10296,Ensembl;Panther;TreeFam
FYV8,93953,Panther
FZO1,55669;9927,Panther
GAA1,8733,Ensembl;HomoloGene;Panther;TreeFam
GAB1,128869,Ensembl;HomoloGene;Panther;TreeFam
GAC1,5506;79660;5507;5509,Panther;TreeFam
GAL1,2584;2585,Ensembl;HomoloGene;Panther;TreeFam
GAL10,2582;2762;23483;80146,Ensembl;Panther;TreeFam
GAL2,11182;29988,Ensembl
GAL3,2584;2585,Ensembl;HomoloGene;Panther;TreeFam
GAL7,2592,Ensembl;HomoloGene;Panther;TreeFam
GAL83,5564;5565,Ensembl;TreeFam
GAP1,56301;23657;8140;9057;9056;23428;11136,Panther
GAR1,54433,Ensembl;Panther;TreeFam
GAT1,2623;2624;2625;2626;140628;2627;7227,Ensembl
GBP2,4670,Ensembl;Panther
GCD1,8891,Ensembl;Panther;TreeFam
GCD11,1968,Panther;TreeFam
GCD2,8890,Ensembl;Panther;TreeFam
GCD6,8893,Ensembl;HomoloGene;Panther;TreeFam
GCD7,8892,HomoloGene;Panther;TreeFam
GCG1,79094,Ensembl;Panther;TreeFam
GCN1,10985,Ensembl;HomoloGene;Panther;TreeFam
GCN2,27102;5610;9451;440275,Ensembl;HomoloGene;Panther;TreeFam
GCN20,23,Ensembl
GCN3,1967,HomoloGene;Panther;TreeFam
GCN4,3725;3726;3727,Panther
GCN5,11177;9031;11176;29994;2186;27443;2648;8850,Ensembl;Panther;TreeFam;HomoloGene
GCS1,3268;55738,Panther;Ensembl;HomoloGene;TreeFam
GCV1,275,Ensembl;HomoloGene;Panther;TreeFam
GCV2,2731,Ensembl;HomoloGene;Panther;TreeFam
GCV3,2653,Ensembl;HomoloGene;TreeFam
GCY1,10327;231;57016;441282;1646;8644;1109;6718;7881;8514;9196,Ensembl;TreeFam;Panther
GDA1,957;955,Ensembl;HomoloGene;Panther;TreeFam
GDB1,178,Ensembl;HomoloGene;Panther;TreeFam
GDE1,56261,Ensembl;Panther;TreeFam
GDH1,2746;2747,Ensembl;TreeFam
GDH3,2746;2747,Ensembl;TreeFam
GDI1,1121;1122;2664;2665,Ensembl;HomoloGene;Panther
GDT1,55858,Ensembl;HomoloGene;Panther;TreeFam
GEA1,8729,Ensembl
GEA2,8729,Ensembl
GEF1,1180;1181;1182;1183;1184;1185;1186;1187;1188,Ensembl;HomoloGene;TreeFam;Panther
GEM1,55288;89941,Ensembl;Panther;TreeFam;HomoloGene
GEP3,55341,Panther
GET1,7485,Panther
GET3,439,Ensembl;HomoloGene;Panther;TreeFam
GET4,51608,Ensembl;HomoloGene;Panther;TreeFam
GFA1,2673;9945,Ensembl;Panther;TreeFam;HomoloGene
GGA1,26088;23062;23163;10043;10040;146691;115825,Ensembl;Panther
GGA2,26088;23062;23163;10043;10040;146691;115825,Ensembl;Panther
GGC1,283130,Panther
GID7,64743,Panther
GID8,54994,Panther
GIM3,5203,Ensembl;Panther;TreeFam
GIM4,5202,Ensembl;Panther;TreeFam
GIM5,5204,Ensembl;HomoloGene;Panther;TreeFam
GIN4,84446;9024;4139;2011;4140;57787;150094;23387;54861,Ensembl;Panther
GIP2,5506;79660;5507;5509,Panther;TreeFam
GIP3,22900;4261;197358;84166;22861;338322;204801;91662;126204;338323;55655;114548;147945;126206;171389;199713;126205;338321;10392,Panther
GIS1,9682;23030;23081;55693;390245,Ensembl;TreeFam
GIS2,7555,HomoloGene;TreeFam
GLC3,276;277;278;279;280;2632,Panther;Ensembl;HomoloGene;TreeFam
GLC7,5499;5500;5501,Ensembl;HomoloGene;Panther;TreeFam
GLC8,5504,Panther
GLE1,2733,Ensembl;Panther
GLE2,9184;8480,Ensembl;HomoloGene;Panther
GLG1,2992;8908,Ensembl;Panther;TreeFam
GLG2,2992;8908,Ensembl;Panther;TreeFam
GLK1,2645;3098;3099;3101,Ensembl;Panther;TreeFam
GLN1,2752;51557,Ensembl;HomoloGene;Panther;TreeFam
GLN3,2623;2624;2625;2626;140628;2627;7227,Ensembl
GLN4,5859,Ensembl;HomoloGene;Panther;TreeFam
GLO1,2739,Ensembl;HomoloGene;Panther;TreeFam
GLO2,23474;3029;25953,Ensembl;Panther;TreeFam
GLO3,11033;55803;116987;116986;116985;116984;84364;26286;28964;9815;60682,Panther;Ensembl;TreeFam
GLO4,23474;3029;25953,Ensembl;Panther;TreeFam
GLR1,1738;2936;7296;10587,Panther;Ensembl;HomoloGene;TreeFam
GLT1,1806;2232,Ensembl;Panther
GNA1,64841,Ensembl;HomoloGene;Panther;TreeFam
GND1,5226,Ensembl;HomoloGene;Panther;TreeFam
GND2,5226,Ensembl;HomoloGene;Panther;TreeFam
GNP1,56301;23657;8140;9057;9056;23428;11136,Panther
GNT1,2992;8908,Panther
GOR1,9380,Ensembl;Panther
GOS1,9527,Ensembl;HomoloGene;Panther;TreeFam
GOT1,51026,Ensembl;HomoloGene;Panther;TreeFam
GPA1,2767;9630;2769;2770;2771;2773;2775;2776;2779;2780;346562;2781,Ensembl;TreeFam;HomoloGene;Panther
GPA2,2768;2774;2775;2778;2781,Ensembl;Panther
GPD1,2819;23171,Ensembl;HomoloGene;Panther;TreeFam
GPD2,2819;23171,Ensembl;HomoloGene;Panther;TreeFam
GPH1,5834;5836;5837,Ensembl;Panther;TreeFam;HomoloGene
GPI1,9091,Ensembl;Panther;TreeFam
GPI10,9488,Ensembl;Panther;TreeFam
GPI11,5281,Panther;TreeFam
GPI12,9487,Ensembl;HomoloGene;Panther;TreeFam
GPI13,84720,Ensembl;Panther;TreeFam
GPI14,93183,Ensembl;HomoloGene;Panther;TreeFam
GPI15,5283,Panther
GPI16,51604,Ensembl;HomoloGene;Panther;TreeFam
GPI17,94005,Ensembl;HomoloGene;Panther;TreeFam
GPI18,55650,Panther
GPI2,5279,Panther
GPI8,5641;10026,Ensembl;HomoloGene;Panther;TreeFam
GPM1,669;5223;5224;441531,Ensembl;Panther;TreeFam;HomoloGene
GPM2,669;5223;5224;441531,Panther;TreeFam
GPM3,669;5223;5224;441531,Panther;TreeFam
GPX1,2876;2877;2878;2879;2880;257202;2882,Ensembl;TreeFam
GPX2,2876;2877;2878;2879;2880;257202;2882,Ensembl;TreeFam;HomoloGene
GRE2,2762,Panther
GRE3,10327;57016;1645;1646;8644;1109;6718;7881;8514;9196,TreeFam;HomoloGene;Panther
GRH1,64689;26003,Ensembl;Panther
GRR1,222235;144699;79176;146330;64839;25827;84961;26235;23194,Ensembl;HomoloGene
GRS1,2617;11232,Ensembl;HomoloGene;Panther;TreeFam
GRS2,2617;11232,Panther;TreeFam
GRX1,2745;51022,Ensembl;Panther;TreeFam
GRX2,2745;51022,Ensembl;Panther;TreeFam
GRX3,10539,Ensembl;HomoloGene;Panther;TreeFam
GRX4,10539,Ensembl;HomoloGene;Panther;TreeFam
GRX5,51218,HomoloGene;Panther;TreeFam
GRX8,2745;51022,Panther
GSH1,2729,Ensembl;HomoloGene;Panther;TreeFam
GSH2,2937,Ensembl;HomoloGene;Panther;TreeFam
GSP1,5901,Ensembl;HomoloGene;Panther;TreeFam
GSP2,5901,Ensembl;HomoloGene;Panther;TreeFam
GSY1,2997;2998,Ensembl;HomoloGene;Panther;TreeFam
GSY2,2997;2998,HomoloGene;Panther;TreeFam
GTB1,84572;5589,Panther;TreeFam;Ensembl
GTR1,10670;10325,Ensembl;Panther
GTR2,64121;58528,Ensembl;Panther;TreeFam
GTS1,11033;55803;116987;116986;116985;116984;28964;9815;60682,Panther
GTT1,9521;1937;54332;2954,Panther
GTT2,54332;2952;2953;2954,Panther
GUA1,8833,Ensembl;Panther;TreeFam
GUD1,9615,Ensembl;HomoloGene;Panther;TreeFam
GUK1,2987;136332,Ensembl;HomoloGene;Panther;TreeFam
GUP1,55733;57467,Ensembl;Panther;TreeFam
GUP2,55733;57467,Ensembl;Panther;TreeFam
GUS1,2058,HomoloGene
GUT1,55277;2710;2712;2713,Panther;Ensembl;HomoloGene;TreeFam
GUT2,2820,Ensembl;Panther;TreeFam
GVP36,6879;54457,Panther
GWT1,284098,Ensembl;HomoloGene;Panther;TreeFam
GYL1,7813;9910;23216;57533;9882,Ensembl
GYP5,7813;9910;23216;57533;9882,Ensembl;Panther;TreeFam
GYP6,9779,Panther
GYP7,129049;9905;64786;4943,Ensembl;Panther;TreeFam
GYP8,128637,Ensembl;Panther
GZF3,2623;2624;2625;2626;140628;2627;7227,Ensembl
